"Labor","Nivel","AnchoPro","AltoPro","Empresa","Tipo","Fecha","Guardia","AnchoReal","AltoReal","CumplimientoRecomendacion","NivelRiesgo","Condicion","Recomendacion","Sostenimiento","GSI","PorcentajeTabla","TipoSostenimiento","Responsable","Operaciones","Seguridad","Geomecanico","Registro","ProcesoMinado","SostenimientoTope","HastialDerecho","HastialIzquierdo","MallasTraslapadas","MallasRotas"
"S/N. 660",3420,4,4,"COPSEM","EXPLOTACION","""2015-07-10T05:00:00.000Z""","DIA",4.3,4.3,true,"CRITICO","null","",true,"MF/R",6,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.5","1.5","Si","Si"
"Rpa 8262",2960,4,4,"COPSEM","AVANCE","""2015-07-10T05:00:00.000Z""","DIA",4.2,4.2,true,"BAJO","null","",true,"MF/R",6,"Shotcrete con fibra (2""). Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.2","1.3","Si","No"
"Rpa 82611",2960,4,4,"CIA MINERA ATACOCHA","AVANCE","""2015-07-11T05:00:00.000Z""","DIA",4.2,4.2,true,"MEDIO","null","",true,"MF/R",6,"Shotcrete con fibra (2""). Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.2","1.3","Si","No"
"Rpa 82000",2960,4,4,"CIA MINERA ATACOCHA","AVANCE","""2015-07-11T05:00:00.000Z""","DIA",4,4,true,"BAJO","null","",true,"MF/R",6,"Shotcrete con fibra (2""). Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","Si","1.2","1.3","Si","No"
"Cro 160 E",2890,4.5,4,"IESA SA","AVANCE","""2015-07-12T05:00:00.000Z""","NOCHE",4.18,4.18,true,"CRITICO","null","REALIZAR DESATE MINUCIOSO Y DESCARGUE DE BANCOS, REFORZAR SOSTENIMIENTO EN AVANZADA HASTA LA GRADIENTE, CONTINUAR CON LA VOLADURA CONTROLADA",true,"F/B",10,"Shotcrete con fibra (2""). Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.3","1.25","Si","Si"
"Cro 023",3000,4,4,"IESA SA","EXPLOTACION","""2015-07-12T05:00:00.000Z""","NOCHE",4.19,4.19,true,"CRITICO","null","REALIZAR DESATE MAS DESCARGA Y PEGADO DE MALLA, CONTINUAR CON VOLADURA CONTROLADA",true,"MF/R",6,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"DESATE-SOST.","No","1.2","1.15","Si","No"
"Stp. 8107",4050,4,4,"COPSEM","EXPLOTACION","""2015-07-13T05:00:00.000Z""","DIA",4.2,4.2,true,"BAJO","null","",true,"F/R",9,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.4","1.4","Si","Si"
"Rpa. 347",4154,4,4,"COPSEM","EXPLOTACION","""2015-07-13T05:00:00.000Z""","DIA",4.2,4.2,true,"CRITICO","null","Falla semiparalela a la labor, discontinuidades transversales a la labor, de mediana resistencia moderadamente alterado. Se observa falta reforzar el sostenimiento y colocar el sostenimiento de la comunicacion. Recomendacion sostener malla mas Split Set a 1.20 x 1.20 mts la comunicacion",true,"MF/R",6,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","No","1.5","1.5","Si","No"
"Stp. 995",3540,4,4,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-07-12T05:00:00.000Z""","NOCHE",4.5,4.5,true,"CRITICO","null","Se debe completar con el shotcrete el pilar ",true,"MF/P",3,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","Si","1.3","1.25","Si","No"
"Rpa. 175",2890,4,4,"IESA SA","AVANCE","""2015-07-13T05:00:00.000Z""","NOCHE",4.15,4.15,true,"CRITICO","null","Realizar desate mas descarga de bancos y sostenimiento  en ultimo disparo hasta la gradiente",true,"F/R",9,"Shotcrete con fibra (2""). Perno Helicoidal a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"LIMPIEZA","No","1.18","1.15","Si","No"
"CRO 147",2860,4,4,"IESA SA","EXPLOTACION","""2015-07-14T05:00:00.000Z""","DIA",4.17,4.17,true,"BAJO","null","MANTENER EL SOSTENIMIENTO AL TOPE Y RESANAR MALLA",true,"MF/R",6,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.18","1.30","Si","Si"
"Rpa. 801 E",3300,4,4,"IESA SA","EXPLOTACION","""2015-07-14T05:00:00.000Z""","DIA",4,4,true,"BAJO","null","",true,"MF/R",6,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.1","1.1","Si","Si"
"Cro 682",3600,4,4,"COPSEM","EXPLOTACION","""2015-07-14T05:00:00.000Z""","DIA",4.3,4.3,true,"BAJO","null","Roca de mediana resistencia emplazada en caliza gris, fallas trasnversales a la labor, tiene manchas de oxidación. Se observa mallas rotas.  Recomendación reforzar el sostenimiento y controlar la sección de la labor y realizar la voladura controlada",true,"F/R",9,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"PERFORACIÓN","Si","1.5","1.5","Si","Si"
"Cro. 679",3600,4,4,"COPSEM","EXPLOTACION","""2015-07-14T05:00:00.000Z""","DIA",4.3,4.3,true,"BAJO","null","",true,"F/R",9,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","Si","1.5","1.4","Si","No"
"STP. 440E",2890,4,4,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-07-14T05:00:00.000Z""","DIA",4.2,4.2,true,"CRITICO","null","se debe completar el sostenimiento del nuevo acceso hacia el HD",true,"MF/R",6,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","No","1.5","1.5","Si","No"
"STP. 160N ",2890,4,4,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-07-14T05:00:00.000Z""","DIA",5.5,5.5,true,"CRITICO","null","se debe completar el sostenimiento de la comunicacion, se tiene la presencia de falla paralela a la labor ",true,"MF/R",6,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","No","1.5","1.5","Si","No"
"STP. 928",2960,4,4,"CIA MINERA ATACOCHA","EXPLOTACION","""2015-07-14T05:00:00.000Z""","DIA",4.1,4.1,true,"CRITICO","null","se debe completar el sostenimiento delnuevo acceso ",true,"MF/R",6,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","Si","2.0","1.9","Si","Si"
"Rpa 175",2960,4,4,"IESA SA","EXPLOTACION","""2015-07-14T05:00:00.000Z""","NOCHE",4.18,4.18,true,"CRITICO","null","Realizar desate mas desarga, reforzar sostenimiento en espacios habiertos y voladura controlada, evitar la sobrerotura",true,"MF/R",6,"Shotcrete con fibra (2""). Split Set a 1.20 x 1.20 m. Malla electrosoldada.",,"Root","Root","Root",,"SIN PERSONAL","No","1.16","1.22","Si","Si"
